doc_id,url,title,description,pagerank
0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality - PMC,"One potentially important bone quality characteristic is the response of bone to cyclic (repetitive) mechanical loading. In small animals, such as in rats and mice, cyclic loading experiments are particularly challenging to perform in a precise ...",9e-06
1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana - PMC,"SNAREs play an important role in the process of membrane trafficking. In the present research, we investigated subcellular localization of an uncharacterized Arabidopsis thaliana protein reported to interact with a trans-Golgi network-localized ...",9e-06
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21 - PMC","Bone is a dynamically remodeled tissue that requires gravity-mediated mechanical stimulation for maintenance of mineral content and structure. Homeostasis in bone occurs through a balance in the activities and signaling of osteoclasts, osteoblasts, ...",9e-06
3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver - PMC,Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver - PMC Skip to main content An official website of the United States governmen...,9e-06
4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres - PMC,"Therapeutic effects of adult stem-cell transplantations are limited by poor cell-retention in target organs, and a reduced potential for optimal cell differentiation compared to embryonic stem cells. However, contemporary studies have indicated ...",9e-06
5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth - PMC,"Rab GTPases are important regulators of endomembrane trafficking, regulating exocytosis, endocytosis and membrane recycling. Many Rab-like proteins exist in plants, but only a subset have been functionally characterized. Here we report that AtRabD2b ...",9e-06
6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart - PMC,"Spaceflight causes cardiovascular changes due to microgravity-induced redistribution of body fluids and musculoskeletal unloading. Cardiac deconditioning and atrophy on Earth are associated with altered Trp53 and oxidative stress-related pathways, ...",9e-06
7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis - PMC,"The Arabidopsis (Arabidopsis thaliana) soluble N-ethylmaleimide-sensitive factor attachment protein receptor SYP41 is involved in vesicle fusion at the trans-Golgi network (TGN) and interacts with AtVPS45, SYP61, and VTI12. These proteins are ...",9e-06
8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana - PMC","The movement of plant roots within the soil is key to their ability to interact with the environment and maximize anchorage and nutrient acquisition. Directional growth of roots occurs by a combination of sensing external cues, hormonal signaling ...",9e-06
9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station - PMC,"The International Space Station (ISS) National Laboratory is dedicated to studying the effects of space on life and physical systems, and to developing new science and technologies for space exploration. A key aspect of achieving these goals is to ...",9e-06
